ID,z,lgMstar,SFR_case,SFR_source,SFR,e_SFR,SFR_censored,SFR_limit,MHI,e_MHI,MHI_censored,MHI_limit
109064,0.010794133999999999,9.458057,9,xGASS,.,.,False,.,0.0,19589799.708174,True,97948998.54087001
32937,0.025831,10.449000000000002,1,xGASS,1.2039255,0.18956333,False,.,2502032510.5156207,335638507.5081931,False,0.0
109028,0.017749,10.069737,1,xGASS,1.5579266999999999,0.14896408,False,.,6119877276.330024,145365255.9698343,False,0.0
109059,0.018333000000000002,9.057071,2,xGASS,0.15299045,0.06813124599999999,False,.,1564598906.8312657,92946469.71274845,False,0.0
109082,0.019834,9.68895,9,xGASS,.,.,False,.,6309301459.152967,162704049.0899046,False,0.0
32907,0.034934,10.467,1,xGASS,0.859467,0.2309995,False,.,2340416232.6803036,390069372.113384,False,0.0
109118,0.018169,9.984833,1,xGASS,0.35546,0.11603191,False,.,4094197577.730955,152200653.44724742,False,0.0
53269,0.04576,10.98,2,xGASS,0.058104712999999995,0.09238534,True,0.09238534,0.0,282507508.9245511,True,1412537544.6227555
16841,0.031829,10.064,1,xGASS,1.1278639,0.21400727,False,.,12045854616.577457,370641680.5100756,False,0.0
109127,0.019677,9.088217,9,xGASS,.,.,False,.,1584078641.4729807,284778182.7367156,False,0.0
20165,0.04979,10.82,2,xGASS,0.055985413,0.13598436,True,0.13598436,0.0,216785382.8042408,True,1083926914.021204
20133,0.048977,10.856,1,xGASS,5.328233200000001,0.38194677,False,.,3573747144.890122,649772208.1618403,False,0.0
109010,0.010190000000000001,9.748248,1,xGASS,0.36708868,0.10070351,False,.,1478461530.5841877,34043522.085820116,False,0.0
109126,0.013152,9.144584,1,xGASS,0.1628876,0.088671,False,.,193303553.24023348,40271573.59171531,False,0.0
20144,0.049618,10.065,9,xGASS,.,.,False,.,2334209992.894207,444611427.2179442,False,0.0
109005,0.0113679925,9.609703,2,xGASS,0.0081591,0.043021332,True,0.043021332,0.0,22081572.398041423,True,110407861.99020712
33214,0.027319,10.344000000000001,2,xGASS,0.034815643,0.07352038,True,0.07352038,546336456.1611179,170730142.55034935,False,0.0
109103,0.018926,9.45266,1,xGASS,0.13619518,0.10888751599999999,False,.,725569914.5768291,98941351.98774943,False,0.0
20149,0.04938,10.905999999999999,1,xGASS,1.4776638000000002,0.38286754,False,.,0.0,277990526.24266994,True,1389952631.2133498
109070,0.018633,9.666807,9,xGASS,.,.,False,.,3198558421.935243,159927921.09676215,False,0.0
55745,0.027813,10.915999999999999,9,xGASS,.,.,False,.,884875891.1835581,283160285.1787386,False,0.0
109092,0.017952000000000003,9.69856,1,xGASS,0.40101057,0.14724898,False,.,1605421378.3439565,133785114.86199637,False,0.0
109097,0.010769862,9.950481,1,xGASS,0.027421596,0.05372276,True,0.05372276,0.0,27671327.579435624,True,138356637.8971781
8347,0.04627,10.675999999999998,2,xGASS,0.17164406,0.1983789,True,0.1983789,0.0,170620022.80351824,True,853100114.0175912
14784,0.031922000000000006,11.075,1,xGASS,1.3640703,0.25232422,False,.,10345149590.467934,698996593.950536,False,0.0
55711,0.04772,10.833,1,xGASS,4.795439,0.44024947,False,.,30631432087.681465,1336270527.3149633,False,0.0
8349,0.028783,10.365,1,xGASS,0.8831002,0.19593805,False,.,682365078.3017851,189545855.08382922,False,0.0
109072,0.01888,9.676524,1,xGASS,0.57794595,0.14783801,False,.,4496790711.205592,164116449.3140727,False,0.0
109073,0.010944,9.917467,9,xGASS,.,.,False,.,380891332.9678811,56013431.318806045,False,0.0
109108,0.010247,9.615812,9,xGASS,.,.,False,.,354050357.4272394,49173660.753783256,False,0.0
109011,0.019916999999999997,9.505133,1,xGASS,0.24368879,0.1004971,False,.,2278360305.6679444,109361294.67206134,False,0.0
109122,0.019974000000000002,9.758535,9,xGASS,.,.,False,.,7826614994.019316,183293091.1948318,False,0.0
109100,0.012702,9.507858,1,xGASS,0.13043869,0.09677359,False,.,1413620836.3994594,60154078.14465785,False,0.0
109006,0.0178,9.178282000000001,2,xGASS,0.13130164,0.08918952,False,.,1403397025.785393,131568471.16738059,False,0.0
109065,0.017939,9.5456,1,xGASS,1.0846536,0.18722239999999998,False,.,4319566342.736535,163282576.52955973,False,0.0
109075,0.019516625,9.7702,9,xGASS,.,.,False,.,0.0,25705733.198872305,True,128528665.99436153
109128,0.01975,10.113643,1,xGASS,1.0788056000000001,0.19644687,False,.,7440276508.808366,143427017.03726968,False,0.0
26056,0.029704,10.115,9,xGASS,.,.,False,.,9729538658.159782,444086826.7209859,False,0.0
33469,0.027030000000000002,10.610999999999999,1,xGASS,0.37874752,0.17855531,False,.,0.0,148946394.78119776,True,744731973.9059888
18702,0.029881,10.204,1,xGASS,0.65747505,0.21505533,False,.,1960949351.7438,285971780.46263754,False,0.0
109077,0.017869,9.504068,1,xGASS,0.10583921,0.06088422,False,.,795434986.5021214,117842220.2225365,False,0.0
109120,0.013046,9.120564,1,xGASS,0.10361788,0.08079460000000001,False,.,546940035.0800457,79266671.75073127,False,0.0
